"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00289999","65587200","0.681481","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264ce"
"func@0x1400010e0","0.00279999","1075200","0.0185185","intelppm.sys","func@0x1400010e0","[Unknown]","0x1400010e0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00259999","56985600","0.647619","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264d6"
"stbiw__putc","0.00259999","12364800","0.317308","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400249f9"
"func@0x1406ae6c0","0.00249999","4838400","0.168919","ntoskrnl.exe","func@0x1406ae6c0","[Unknown]","0x1406ae6c0"
"stbiw__jpg_calcBits","0.00239999","12902400","0.207692","kip_sequential_soa_profile.exe","stbiw__jpg_calcBits","stb_image_write.h","0x1400245ba"
"func@0x140241a70","0.00229999","13977600","0.3","ntoskrnl.exe","func@0x140241a70","[Unknown]","0x140241a70"
"ExpInterlockedPopEntrySList","0.00209999","9139200","0.0511364","ntoskrnl.exe","ExpInterlockedPopEntrySList","[Unknown]","0x1406b5160"
"func@0x1403acc30","0.00199999","10214400","0.207692","ntoskrnl.exe","func@0x1403acc30","[Unknown]","0x1403acc30"
"RtlCopyMemory","0.00199999","5376000","0.13","ntoskrnl.exe","RtlCopyMemory","[Unknown]","0x1406c1440"
"func@0x1402f88d0","0.00199999","18816000","0.340909","ntoskrnl.exe","func@0x1402f88d0","[Unknown]","0x1402f88d0"
"func@0x1403440b0","0.00189999","10752000","0.268293","ntoskrnl.exe","func@0x1403440b0","[Unknown]","0x1403440b0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00179999","26342400","0.571429","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e54a"
"func@0x140bc076a","0.00179999","2150400","0.111111","ntoskrnl.exe","func@0x140bc076a","[Unknown]","0x140bc076a"
"func@0x1406b3623","0.00169999","0","0.113407","ntoskrnl.exe","func@0x1406b3623","[Unknown]","0x1406b3623"
"func@0x1403642d0","0.00159999","3225600","0.0930233","ntoskrnl.exe","func@0x1403642d0","[Unknown]","0x1403642d0"
"stbi__jpeg_huff_decode","0.00159999","15590400","0.475","kip_sequential_soa_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x140021d87"
"func@0x1402c6150","0.00159999","2688000","0.0581395","ntoskrnl.exe","func@0x1402c6150","[Unknown]","0x1402c6150"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00159999","42470400","0.688889","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e92c"
"func@0x1402498a0","0.00159999","10752000","0.258929","ntoskrnl.exe","func@0x1402498a0","[Unknown]","0x1402498a0"
"func@0x140332f40","0.00149999","5376000","0.117647","ntoskrnl.exe","func@0x140332f40","[Unknown]","0x140332f40"
"stbiw__jpg_writeBits","0.00149999","15590400","0.336538","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x14002468e"
"stbi__extend_receive","0.00139999","23654400","0.460317","kip_sequential_soa_profile.exe","stbi__extend_receive","stb_image.h","0x140021e0d"
"func@0x14024d940","0.00139999","3225600","0.0689655","ntoskrnl.exe","func@0x14024d940","[Unknown]","0x14024d940"
"func@0x14024e770","0.00139999","4300800","0.223214","ntoskrnl.exe","func@0x14024e770","[Unknown]","0x14024e770"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00129999","32256000","0.697917","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264df"
"func@0x1406b473f","0.00129999","0","0.0483871","ntoskrnl.exe","func@0x1406b473f","[Unknown]","0x1406b473f"
"func@0x14024ed2a","0.00129999","8601600","0.276316","ntoskrnl.exe","func@0x14024ed2a","[Unknown]","0x14024ed2a"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.00129999","16128000","0.759259","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x1400264f1"
"func@0x14027b070","0.00129999","5376000","0.258621","ntoskrnl.exe","func@0x14027b070","[Unknown]","0x14027b070"
"func@0x14024bee0","0.00129999","1612800","0.133333","ntoskrnl.exe","func@0x14024bee0","[Unknown]","0x14024bee0"
"stbiw__jpg_writeBits","0.00119999","17203200","0.36","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024a82"
"stbiw__jpg_writeBits","0.00119999","6451200","0.217949","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024530"
"func@0x18002e9f0","0.00119999","8064000","0.46","cng.sys","func@0x18002e9f0","[Unknown]","0x18002e9f0"
"func@0x140298af0","0.0011","1612800","0.272727","ntoskrnl.exe","func@0x140298af0","[Unknown]","0x140298af0"
"func@0x1403637e0","0.0011","4300800","0.125","ntoskrnl.exe","func@0x1403637e0","[Unknown]","0x1403637e0"
"func@0x1402a7440","0.0011","3225600","0.0384615","ntoskrnl.exe","func@0x1402a7440","[Unknown]","0x1402a7440"
"func@0x1406c2140","0.0011","5376000","0.23913","ntoskrnl.exe","func@0x1406c2140","[Unknown]","0x1406c2140"
"func@0x140226fb0","0.0011","2150400","0.0379651","ntoskrnl.exe","func@0x140226fb0","[Unknown]","0x140226fb0"
"func@0x18000b730","0.0011","7526400","0.25","fltmgr.sys","func@0x18000b730","[Unknown]","0x18000b730"
"func@0x140250fc0","0.0011","5913600","0.163793","ntoskrnl.exe","func@0x140250fc0","[Unknown]","0x140250fc0"
"func@0x14040a340","0.000999996","8064000","0.119048","ntoskrnl.exe","func@0x14040a340","[Unknown]","0x14040a340"
"func@0x140217428","0.000999996","0","0.0789474","igdkmdn64.sys","func@0x140217428","[Unknown]","0x140217428"
"func@0x1402fcd10","0.000999996","7526400","0.185185","ntoskrnl.exe","func@0x1402fcd10","[Unknown]","0x1402fcd10"
"func@0x1406b3ad0","0.000999996","1075200","0.105263","ntoskrnl.exe","func@0x1406b3ad0","[Unknown]","0x1406b3ad0"
"stbiw__jpg_writeBits","0.000999996","17203200","0.5625","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x140024880"
"func@0x1402a5560","0.000999996","4300800","0.185185","ntoskrnl.exe","func@0x1402a5560","[Unknown]","0x1402a5560"
"fread","0.000899996","1881600","0.0526316","ucrtbase.dll","fread","[Unknown]","0x18001de00"
"func@0x1404f1d10","0.000899996","1075200","0.0625","ntoskrnl.exe","func@0x1404f1d10","[Unknown]","0x1404f1d10"
"stbi__jpeg_dequantize","0.000899996","14515200","0.367647","kip_sequential_soa_profile.exe","stbi__jpeg_dequantize","stb_image.h","0x140013ac0"
"ExAcquireSpinLockShared","0.000899996","2150400","0.107143","ntoskrnl.exe","ExAcquireSpinLockShared","[Unknown]","0x1402b8500"
