"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Stores Bound","Load Bound","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x140316fe0","0.000299999","1344000","2688000","0.5","0","0","1","0","0","0","0","0","0","0","4.48002e+09","ntoskrnl.exe","func@0x140316fe0","[Unknown]","0x140316fe0"
"func@0x1403cd100","0.000299999","1344000","1075200","1.25","0.4","0.1","0.5","0","0","0","0","0","0","0","4.48002e+09","ntoskrnl.exe","func@0x1403cd100","[Unknown]","0x1403cd100"
"func@0x140242460","0.000299999","268800","0","","0","0","1","0","0","0","0","0","0","0","8.96004e+08","ntoskrnl.exe","func@0x140242460","[Unknown]","0x140242460"
"func@0x1403e8fc3","0.000299999","268800","1075200","0.25","","","","0","0","0","0","0","0","0","8.96004e+08","ntoskrnl.exe","func@0x1403e8fc3","[Unknown]","0x1403e8fc3"
"func@0x140294f40","0.000299999","0","0","0","0","0","1","0","0","0","0","0","0","0","0","ntfs.sys","func@0x140294f40","[Unknown]","0x140294f40"
"func@0x180020720","0.000299999","537600","0","","0","","","0","0","0","0","0","0","0","1.79201e+09","atcuf64.dll","func@0x180020720","[Unknown]","0x180020720"
"RtlAnsiCharToUnicodeChar","0.000299999","1075200","537600","2","0","0","1","0","0","0","0","0","0","0","3.58402e+09","ntdll.dll","RtlAnsiCharToUnicodeChar","[Unknown]","0x1800bd8a0"
"func@0x1402e8090","0.000299999","806400","0","","0","0","1","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x1402e8090","[Unknown]","0x1402e8090"
"KeSetEvent","0.000299999","1075200","0","","","","","0","0","0","0","0","0","0","3.58402e+09","ntoskrnl.exe","KeSetEvent","[Unknown]","0x140227340"
"func@0x1402a8320","0.000299999","268800","0","","0","0","1","0","0","0","0","0","0","0","8.96004e+08","ntoskrnl.exe","func@0x1402a8320","[Unknown]","0x1402a8320"
"ExReleaseAutoExpandPushLockShared","0.000299999","268800","0","","0","0","1","0","0","0","0","0","0","0","8.96004e+08","ntoskrnl.exe","ExReleaseAutoExpandPushLockShared","[Unknown]","0x140283d90"
"func@0x1402a07f9","0.000299999","0","0","0","0","","","0","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402a07f9","[Unknown]","0x1402a07f9"
"func@0x140404690","0.000299999","806400","1075200","0.75","","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x140404690","[Unknown]","0x140404690"
"FltReleaseContext","0.000299999","806400","1612800","0.5","0","0","1","0","0","0","0","0","0","0","2.68801e+09","fltmgr.sys","FltReleaseContext","[Unknown]","0x180003820"
"func@0x14029c790","0.000299999","806400","0","","0","","","0","0","0","0","0","0","0","2.68801e+09","ntoskrnl.exe","func@0x14029c790","[Unknown]","0x14029c790"
"func@0x140616d00","0.000299999","1344000","0","","0","0","1","0","0","0","0","0","0","0","4.48002e+09","atc.sys","func@0x140616d00","[Unknown]","0x140616d00"
"func@0x140267660","0.000299999","1075200","2150400","0.5","0","0","1","0","0","0","0","0","0","0","3.58402e+09","ntoskrnl.exe","func@0x140267660","[Unknown]","0x140267660"
"func@0x14023c95c","0.000299999","3225600","4838400","0.666667","0","0","1","0","0","0","0","0","0","0","1.0752e+10","ntoskrnl.exe","func@0x14023c95c","[Unknown]","0x14023c95c"
"func@0x14026cf20","0.000299999","1344000","2150400","0.625","0","0","1","0","0","0","0","0","0","0","4.48002e+09","ntoskrnl.exe","func@0x14026cf20","[Unknown]","0x14026cf20"
"stbiw__putc","0.000299999","1881600","1612800","1.16667","0","0","1","0","0","0","0","0","0","0","6.27203e+09","kip_sequential_soa_profile.exe","stbiw__putc","stb_image_write.h","0x1400246f3"
