"Function / Call Stack","CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"func@0x180134a34","0.000299999","0","0","440000","0","0","ntdll.dll","func@0x180134a34","[Unknown]","0x180134a34"
"func@0x18001bcc0","0.000299999","0","0","660000","5170000","0","ucrtbase.dll","func@0x18001bcc0","[Unknown]","0x18001bcc0"
"func@0x18000d920","0.000299999","0","0","0","0","0","bdhkm64.dll","func@0x18000d920","[Unknown]","0x18000d920"
"func@0x14023a1d0","0.000299999","0","0","1320000","330000","0","ntoskrnl.exe","func@0x14023a1d0","[Unknown]","0x14023a1d0"
"RtlReleaseSRWLockShared","0.000299999","0","0","0","0","0","ntdll.dll","RtlReleaseSRWLockShared","[Unknown]","0x18003cc80"
"func@0x14025ff70","0.000299999","0","0","440000","0","0","ntoskrnl.exe","func@0x14025ff70","[Unknown]","0x14025ff70"
"RtlLookupElementGenericTableAvl","0.000299999","0","0","0","0","0","ntoskrnl.exe","RtlLookupElementGenericTableAvl","[Unknown]","0x1403f7dc0"
"func@0x1800064b0","0.000299999","0","0","220000","0","0","fltmgr.sys","func@0x1800064b0","[Unknown]","0x1800064b0"
"std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","0.000299999","0","0","5500000","2200000","0","kip_sequential_soa_profile.exe","std::vector<unsigned char,std::allocator<unsigned char> >::operator[]","vector","0x14000e914"
"func@0x18004f56c","0.000299999","0","0","0","0","0","ntdll.dll","func@0x18004f56c","[Unknown]","0x18004f56c"
"ExAcquirePushLockExclusiveEx","0.000299999","0","0","0","0","0","ntoskrnl.exe","ExAcquirePushLockExclusiveEx","[Unknown]","0x140314960"
"func@0x14043f70c","0.000299999","0","0","440000","0","0","ntoskrnl.exe","func@0x14043f70c","[Unknown]","0x14043f70c"
"func@0x18000b730","0.000299999","0","0","660000","440000","0","fltmgr.sys","func@0x18000b730","[Unknown]","0x18000b730"
"stbiw__jpg_writeBits","0.000299999","0","0","440000","220000","0","kip_sequential_soa_profile.exe","stbiw__jpg_writeBits","stb_image_write.h","0x14002468e"
"func@0x14039b240","0.000299999","0","0","0","0","0","atc.sys","func@0x14039b240","[Unknown]","0x14039b240"
"func@0x140416040","0.000299999","0","0","0","0","0","atc.sys","func@0x140416040","[Unknown]","0x140416040"
"func@0x1408bf1d2","0.000299999","0","0","220000","110000","0","ntoskrnl.exe","func@0x1408bf1d2","[Unknown]","0x1408bf1d2"
"func@0x180009542","0.000299999","0","0","0","110000","0","fltmgr.sys","func@0x180009542","[Unknown]","0x180009542"
"func@0x1406163c0","0.000299999","0","0","0","0","0","atc.sys","func@0x1406163c0","[Unknown]","0x1406163c0"
"func@0x1400b694c","0.000299999","","0","0","0","0","atc.sys","func@0x1400b694c","[Unknown]","0x1400b694c"
"func@0x14026c040","0.000299999","0","0","440000","220000","0","atc.sys","func@0x14026c040","[Unknown]","0x14026c040"
"func@0x140006960","0.000299999","0","0","660000","220000","0","atc.sys","func@0x140006960","[Unknown]","0x140006960"
"func@0x1405eee00","0.000299999","0","0","0","110000","0","atc.sys","func@0x1405eee00","[Unknown]","0x1405eee00"
"func@0x1801668c0","0.000299999","0","0","0","0","0","ntdll.dll","func@0x1801668c0","[Unknown]","0x1801668c0"
"func@0x14000b410","0.000299999","0","0","220000","220000","0","ntfs.sys","func@0x14000b410","[Unknown]","0x14000b410"
"func@0x14090e980","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x14090e980","[Unknown]","0x14090e980"
"ExAcquireAutoExpandPushLockShared","0.000299999","0","0","220000","220000","0","ntoskrnl.exe","ExAcquireAutoExpandPushLockShared","[Unknown]","0x140314840"
"func@0x140241e6e","0.000299999","0","0","220000","330000","0","ntoskrnl.exe","func@0x140241e6e","[Unknown]","0x140241e6e"
"RtlDeactivateActivationContextUnsafeFast","0.000299999","0","0","0","0","0","ntdll.dll","RtlDeactivateActivationContextUnsafeFast","[Unknown]","0x18003bf70"
"func@0x140363e30","0.000299999","0","0","0","0","0","ntoskrnl.exe","func@0x140363e30","[Unknown]","0x140363e30"
"ExAcquirePushLockSharedEx","0.000299999","0","0","0","0","0","ntoskrnl.exe","ExAcquirePushLockSharedEx","[Unknown]","0x140315160"
"func@0x140314f30","0.000299999","0","0","0","220000","0","ntoskrnl.exe","func@0x140314f30","[Unknown]","0x140314f30"
