"CPU Time","Memory Bound","Memory Bound","Loads","Stores","LLC Miss Count","Module","Function (Full)","Source File","Start Address"
"0.00249999","0","0","3000000","5100000","0","ntoskrnl.exe","func@0x1406bb340","[Unknown]","0x1406bb340"
"0.00249999","0.5","0","7700000","1300000","0","ntoskrnl.exe","func@0x1403cfec2","[Unknown]","0x1403cfec2"
"0.00249999","0.2","0","2500000","3500000","0","ntoskrnl.exe","func@0x140229e70","[Unknown]","0x140229e70"
"0.00249999","0","0","7700000","5800000","0","ntoskrnl.exe","func@0x1402a7da0","[Unknown]","0x1402a7da0"
"0.00239999","1","0","2000000","1600000","0","ntoskrnl.exe","func@0x1406b8a83","[Unknown]","0x1406b8a83"
"0.00239999","0.25","0","2600000","500000","0","ntoskrnl.exe","func@0x1402bdc90","[Unknown]","0x1402bdc90"
"0.00239999","0","0","2800000","1400000","0","ntoskrnl.exe","ExReleaseSpinLockSharedFromDpcLevel","[Unknown]","0x1402adcf0"
"0.00229999","0","0","4300000","3400000","0","kip_sequential_profile.exe","stbi__stdio_write(void *, void *, int)","stb_image_write.h","0x14001f3c0"
"0.00229999","0","0","4200000","3500000","0","ntoskrnl.exe","func@0x14022b320","[Unknown]","0x14022b320"
"0.00229999","0","0","4000000","600000","0","ntoskrnl.exe","func@0x14041e58b","[Unknown]","0x14041e58b"
"0.00229999","0.8","0","400000","3500000","0","ntoskrnl.exe","func@0x1402c02e0","[Unknown]","0x1402c02e0"
"0.00219999","0.2","0","1100000","500000","0","ntoskrnl.exe","func@0x1402b2d8b","[Unknown]","0x1402b2d8b"
"0.00219999","0.666667","0","800000","1500000","0","ntoskrnl.exe","func@0x1402db220","[Unknown]","0x1402db220"
"0.00219999","0.6","0","3500000","2700000","0","ntoskrnl.exe","func@0x14041e440","[Unknown]","0x14041e440"
"0.00219999","1","0","700000","1200000","0","ntoskrnl.exe","func@0x140248694","[Unknown]","0x140248694"
"0.00219999","0.333333","0","3000000","2800000","0","ntoskrnl.exe","func@0x140427f4c","[Unknown]","0x140427f4c"
"0.00209999","0.5","0","100000","100000","0","ntoskrnl.exe","func@0x1406ac743","[Unknown]","0x1406ac743"
"0.00209999","0","0","1000000","200000","0","ntdll.dll","func@0x180048210","[Unknown]","0x180048210"
"0.00209999","0","0","100000","100000","0","intelppm.sys","func@0x1c0002700","[Unknown]","0x1c0002700"
"0.00199999","0.428571","0","800000","200000","100040","ntoskrnl.exe","func@0x1403e5f36","[Unknown]","0x1403e5f36"
"0.00199999","0","0","700000","600000","0","ntoskrnl.exe","func@0x1402bd3e0","[Unknown]","0x1402bd3e0"
"0.00189999","0.166667","0","1400000","800000","0","ntoskrnl.exe","func@0x1406a03b0","[Unknown]","0x1406a03b0"
"0.00189999","0","0","3100000","2200000","0","kip_sequential_profile.exe","stbi__extend_receive","stb_image.h","0x14001bb4c"
"0.00189999","0","0","1300000","1200000","0","kip_sequential_profile.exe","stbi__mul2shorts_valid(int, int)","stb_image.h","0x14001c400"
"0.00189999","0","0","2400000","1200000","0","kip_sequential_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x14001bac6"
"0.00179999","0.25","0","4600000","1000000","0","ntoskrnl.exe","func@0x140216830","[Unknown]","0x140216830"
"0.00179999","0","0","2100000","900000","0","ntoskrnl.exe","func@0x1402784e0","[Unknown]","0x1402784e0"
"0.00179999","0","0","1000000","400000","0","ntoskrnl.exe","func@0x1403cf300","[Unknown]","0x1403cf300"
"0.00179999","0","0","4000000","5500000","0","ntoskrnl.exe","func@0x14028a450","[Unknown]","0x14028a450"
"0.00179999","0.5","","1300000","600000","0","ntoskrnl.exe","func@0x140bb478a","[Unknown]","0x140bb478a"
"0.00159999","1","0","0","100000","0","intelppm.sys","func@0x1c0005b60","[Unknown]","0x1c0005b60"
"0.00159999","0.666667","0","1800000","1000000","0","ntoskrnl.exe","func@0x1404f6514","[Unknown]","0x1404f6514"
"0.00159999","0","0","1100000","1000000","0","ntoskrnl.exe","func@0x140301820","[Unknown]","0x140301820"
"0.00159999","0","0","4800000","1900000","50020","ntdll.dll","func@0x1800185ab","[Unknown]","0x1800185ab"
"0.00159999","0.2","0","600000","100000","0","ntoskrnl.exe","func@0x1402e143e","[Unknown]","0x1402e143e"
"0.00159999","0","0","3100000","1400000","50020","ntoskrnl.exe","func@0x1402c0a6c","[Unknown]","0x1402c0a6c"
"0.00149999","0.333333","0","5200000","3600000","0","ntoskrnl.exe","func@0x1402add80","[Unknown]","0x1402add80"
"0.00149999","0.285714","0","1900000","1900000","0","ntoskrnl.exe","func@0x140242200","[Unknown]","0x140242200"
"0.00139999","0.166667","0","6700000","1800000","0","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x140022cbf"
"0.00139999","0.5","0","3200000","2200000","0","ntoskrnl.exe","func@0x140218240","[Unknown]","0x140218240"
"0.00139999","1","0","500000","600000","0","ntoskrnl.exe","func@0x1403648c0","[Unknown]","0x1403648c0"
"0.00129999","0","0","2800000","1100000","0","ntoskrnl.exe","func@0x140352140","[Unknown]","0x140352140"
"0.00129999","0","0","200000","100000","0","ntoskrnl.exe","func@0x1402910e0","[Unknown]","0x1402910e0"
"0.00129999","0","0","3500000","1300000","0","ntoskrnl.exe","func@0x1404029e0","[Unknown]","0x1404029e0"
"0.00129999","0","0","10100000","3100000","0","ntoskrnl.exe","func@0x1404f55a8","[Unknown]","0x1404f55a8"
"0.00129999","0","0","6200000","800000","0","ntoskrnl.exe","func@0x1403d0970","[Unknown]","0x1403d0970"
"0.00129999","0.142857","0","5600000","1200000","0","ntoskrnl.exe","func@0x1402b27b0","[Unknown]","0x1402b27b0"
"0.00129999","0","0","2500000","1400000","0","ntoskrnl.exe","func@0x14028f450","[Unknown]","0x14028f450"
"0.00119999","1","0","500000","1000000","0","ntoskrnl.exe","func@0x140351b40","[Unknown]","0x140351b40"
"0.00119999","0","0","1100000","700000","0","ntoskrnl.exe","func@0x1402b38e0","[Unknown]","0x1402b38e0"
"0.0011","0.5","0","1600000","1000000","0","ntoskrnl.exe","ExReleaseRundownProtectionCacheAwareEx","[Unknown]","0x140363f30"
"0.0011","1","0","2600000","3100000","0","ntoskrnl.exe","func@0x1403d0d60","[Unknown]","0x1403d0d60"
"0.0011","0.5","0","2300000","1300000","0","ntoskrnl.exe","func@0x14022b626","[Unknown]","0x14022b626"
"0.0011","0","0","3200000","3300000","0","ntoskrnl.exe","func@0x1402893c0","[Unknown]","0x1402893c0"
"0.000999996","0","0","400000","300000","0","ntdll.dll","RtlAllocateHeap","[Unknown]","0x18000e690"
"0.000999996","0","0","660000","920000","0","kip_sequential_profile.exe","std::vector<std::vector<Pixel,std::allocator<Pixel> >,std::allocator<std::vector<Pixel,std::allocator<Pixel> > > >::operator[]","vector","0x1400222e0"
"0.000999996","0","0","700000","2400000","0","ntoskrnl.exe","func@0x140287910","[Unknown]","0x140287910"
"0.000999996","","0","300000","1100000","0","ntoskrnl.exe","func@0x14041d280","[Unknown]","0x14041d280"
"0.000999996","0","0","5400000","2300000","0","ntoskrnl.exe","func@0x14046ecfc","[Unknown]","0x14046ecfc"
"0.000999996","0","0","2000000","2300000","0","cng.sys","func@0x1c000e360","[Unknown]","0x1c000e360"
"0.000999996","0.5","0","12300000","4400000","0","ntoskrnl.exe","func@0x1403667db","[Unknown]","0x1403667db"
"0.000999996","0","0","0","200000","0","ntoskrnl.exe","func@0x140261ad0","[Unknown]","0x140261ad0"
"0.000999996","0","0","700000","200000","0","ntoskrnl.exe","func@0x140994b20","[Unknown]","0x140994b20"
"0.000899996","0","0","1000000","900000","0","ntoskrnl.exe","func@0x1402667f0","[Unknown]","0x1402667f0"
"0.000899996","0","0","900000","200000","0","nllvmm.sys","func@0x1400128e7","[Unknown]","0x1400128e7"
