"Function / Call Stack","CPU Time","Instructions Retired","Microarchitecture Usage","Module","Function (Full)","Source File","Start Address"
"stbi__extend_receive","0.00143619","16001294","","kip_sequential_profile.exe","stbi__extend_receive","stb_image.h","0x14001bb4c"
"stbi__decode_jpeg_image","0.00143148","1297916","","kip_sequential_profile.exe","stbi__decode_jpeg_image(struct stbi__jpeg *)","stb_image.h","0x140019fa0"
"func@0x1403d1bf0","0.00142778","2272859","","ntoskrnl.exe","func@0x1403d1bf0","[Unknown]","0x1403d1bf0"
"func@0x1c0002700","0.00137471","888712","","intelppm.sys","func@0x1c0002700","[Unknown]","0x1c0002700"
"stbi__jpeg_huff_decode","0.0013307","13831985","","kip_sequential_profile.exe","stbi__jpeg_huff_decode","stb_image.h","0x14001bac6"
"stbi__mul2shorts_valid","0.00132976","12719350","","kip_sequential_profile.exe","stbi__mul2shorts_valid(int, int)","stb_image.h","0x14001c400"
"func@0x14032d0b0","0.00123429","6496651","","ntoskrnl.exe","func@0x14032d0b0","[Unknown]","0x14032d0b0"
"func@0x1402bd3e0","0.00122916","8596398","","ntoskrnl.exe","func@0x1402bd3e0","[Unknown]","0x1402bd3e0"
"func@0x1402e11c0","0.00115606","3934760","","ntoskrnl.exe","func@0x1402e11c0","[Unknown]","0x1402e11c0"
"func@0x1402a7da0","0.00113356","14063299","","ntoskrnl.exe","func@0x1402a7da0","[Unknown]","0x1402a7da0"
"func@0x14028f59a","0.00112807","5662523","","ntoskrnl.exe","func@0x14028f59a","[Unknown]","0x14028f59a"
"func@0x140248694","0.00104515","4451687","","ntoskrnl.exe","func@0x140248694","[Unknown]","0x140248694"
"func@0x140240a60","0.00103231","6125967","","ntoskrnl.exe","func@0x140240a60","[Unknown]","0x140240a60"
"func@0x14041e440","0.00102247","1771938","","ntoskrnl.exe","func@0x14041e440","[Unknown]","0x14041e440"
"func@0x14041e58b","0.000994267","1069956","","ntoskrnl.exe","func@0x14041e58b","[Unknown]","0x14041e58b"
"func@0x140217428","0.00098898","954634","","igdkmdn64.sys","func@0x140217428","[Unknown]","0x140217428"
"func@0x1402b2d8b","0.00092523","5099195","","ntoskrnl.exe","func@0x1402b2d8b","[Unknown]","0x1402b2d8b"
"func@0x1402b25d0","0.000923538","7022131","","ntoskrnl.exe","func@0x1402b25d0","[Unknown]","0x1402b25d0"
"func@0x1402be310","0.000823929","3832026","","ntoskrnl.exe","func@0x1402be310","[Unknown]","0x1402be310"
"func@0x1406bb340","0.000823304","3079006","","ntoskrnl.exe","func@0x1406bb340","[Unknown]","0x1406bb340"
"func@0x18009ffcc","0.000818382","2299502","","ucrtbase.dll","func@0x18009ffcc","[Unknown]","0x18009ffcc"
"func@0x140242200","0.00073557","1346284","","ntoskrnl.exe","func@0x140242200","[Unknown]","0x140242200"
"ExReleaseSpinLockSharedFromDpcLevel","0.00072208","6298098","","ntoskrnl.exe","ExReleaseSpinLockSharedFromDpcLevel","[Unknown]","0x1402adcf0"
"stbi__extend_receive","0.000715752","4737761","","kip_sequential_profile.exe","stbi__extend_receive","stb_image.h","0x14001c0fd"
"std::vector<Pixel,std::allocator<Pixel> >::operator[]","0.000715518","21272643","","kip_sequential_profile.exe","std::vector<Pixel,std::allocator<Pixel> >::operator[]","vector","0x140022cbf"
"func@0x1c0005b60","0.000654268","0","","intelppm.sys","func@0x1c0005b60","[Unknown]","0x1c0005b60"
"func@0x1404f55a8","0.000650414","647759","","ntoskrnl.exe","func@0x1404f55a8","[Unknown]","0x1404f55a8"
"func@0x14028ff40","0.000621924","658012","","ntoskrnl.exe","func@0x14028ff40","[Unknown]","0x14028ff40"
"func@0x1402add80","0.000618461","8367791","","ntoskrnl.exe","func@0x1402add80","[Unknown]","0x1402add80"
"func@0x1402c57a0","0.000618409","1471361","","ntoskrnl.exe","func@0x1402c57a0","[Unknown]","0x1402c57a0"
"func@0x140216830","0.000617888","7313022","","ntoskrnl.exe","func@0x140216830","[Unknown]","0x140216830"
"KeClockInterruptNotify","0.000617862","1703895","","ntoskrnl.exe","KeClockInterruptNotify","[Unknown]","0x14028e9e0"
"func@0x14028a450","0.000616065","3615748","","ntoskrnl.exe","func@0x14028a450","[Unknown]","0x14028a450"
"func@0x1403281e0","0.000552341","0","","igdkmdn64.sys","func@0x1403281e0","[Unknown]","0x1403281e0"
"func@0x1404551b0","0.000528826","0","","ntoskrnl.exe","func@0x1404551b0","[Unknown]","0x1404551b0"
"func@0x14001ce70","0.000520466","366333","","igdkmdn64.sys","func@0x14001ce70","[Unknown]","0x14001ce70"
"func@0x1403cfec2","0.000514659","700867","","ntoskrnl.exe","func@0x1403cfec2","[Unknown]","0x1403cfec2"
"func@0x1402886a0","0.000514347","721101","","ntoskrnl.exe","func@0x1402886a0","[Unknown]","0x1402886a0"
"func@0x1402b27b0","0.000513774","2721743","","ntoskrnl.exe","func@0x1402b27b0","[Unknown]","0x1402b27b0"
"func@0x1403648c0","0.000510909","0","","ntoskrnl.exe","func@0x1403648c0","[Unknown]","0x1403648c0"
"func@0x1403d0d60","0.000449842","0","","ntoskrnl.exe","func@0x1403d0d60","[Unknown]","0x1403d0d60"
"func@0x1403b82d0","0.000449451","562423","","igdkmdn64.sys","func@0x1403b82d0","[Unknown]","0x1403b82d0"
"func@0x1402ca3e0","0.000433019","318988","","igdkmdn64.sys","func@0x1402ca3e0","[Unknown]","0x1402ca3e0"
"func@0x1403cf5a0","0.000429608","269295","","ntoskrnl.exe","func@0x1403cf5a0","[Unknown]","0x1403cf5a0"
"func@0x140366980","0.000423696","687193","","ntoskrnl.exe","func@0x140366980","[Unknown]","0x140366980"
"func@0x14022bdb0","0.000419608","289667","","ntoskrnl.exe","func@0x14022bdb0","[Unknown]","0x14022bdb0"
"func@0x140459f50","0.000416665","0","","ntoskrnl.exe","func@0x140459f50","[Unknown]","0x140459f50"
"func@0x180053940","0.000411561","862166","","ntdll.dll","func@0x180053940","[Unknown]","0x180053940"
"func@0x140bb4780","0.000410858","1795874","","ntoskrnl.exe","func@0x140bb4780","[Unknown]","0x140bb4780"
"func@0x1402ca8cc","0.000356587","295218","","igdkmdn64.sys","func@0x1402ca8cc","[Unknown]","0x1402ca8cc"
"func@0x1404177a4","0.000337186","271806","","ntoskrnl.exe","func@0x1404177a4","[Unknown]","0x1404177a4"
"func@0x1403664d0","0.000332863","1957905","","ntoskrnl.exe","func@0x1403664d0","[Unknown]","0x1403664d0"
"func@0x1406a76a0","0.000329556","366790","","ntoskrnl.exe","func@0x1406a76a0","[Unknown]","0x1406a76a0"
"func@0x140217670","0.000322134","0","","igdkmdn64.sys","func@0x140217670","[Unknown]","0x140217670"
"func@0x14028aa30","0.000316379","360889","","ntoskrnl.exe","func@0x14028aa30","[Unknown]","0x14028aa30"
"func@0x1c0005cc7","0.000315259","722423","","dxgmms2.sys","func@0x1c0005cc7","[Unknown]","0x1c0005cc7"
"func@0x14043afa8","0.000315207","361485","","ntoskrnl.exe","func@0x14043afa8","[Unknown]","0x14043afa8"
"func@0x140219ab0","0.000314113","1820178","","ntoskrnl.exe","func@0x140219ab0","[Unknown]","0x140219ab0"
"func@0x14028f450","0.000310572","1411885","","ntoskrnl.exe","func@0x14028f450","[Unknown]","0x14028f450"
"func@0x140288ca0","0.000310546","284462","","ntoskrnl.exe","func@0x140288ca0","[Unknown]","0x140288ca0"
"func@0x1402184a0","0.000309999","1984483","","ntoskrnl.exe","func@0x1402184a0","[Unknown]","0x1402184a0"
"func@0x1402910e0","0.000309868","1070884","","ntoskrnl.exe","func@0x1402910e0","[Unknown]","0x1402910e0"
"func@0x140218240","0.000309608","4435402","","ntoskrnl.exe","func@0x140218240","[Unknown]","0x140218240"
"func@0x1402ae080","0.000309139","276561","","ntoskrnl.exe","func@0x1402ae080","[Unknown]","0x1402ae080"
"func@0x14028f400","0.000308306","287920","","ntoskrnl.exe","func@0x14028f400","[Unknown]","0x14028f400"
"func@0x1406a03b0","0.000307785","1074423","","ntoskrnl.exe","func@0x1406a03b0","[Unknown]","0x1406a03b0"
"stbi__addints_valid","0.000307186","3895350","","kip_sequential_profile.exe","stbi__addints_valid(int, int)","stb_image.h","0x14001c3d0"
"func@0x140172830","0.000268983","323799","","igdkmdn64.sys","func@0x140172830","[Unknown]","0x140172830"
"func@0x140483480","0.00025091","395292","","igdkmdn64.sys","func@0x140483480","[Unknown]","0x140483480"
"RtlCopyMemory","0.000241041","1076215","","ntoskrnl.exe","RtlCopyMemory","[Unknown]","0x1406ba640"
"func@0x14041e330","0.000225416","282776","","ntoskrnl.exe","func@0x14041e330","[Unknown]","0x14041e330"
"func@0x1402880c0","0.000223176","346627","","ntoskrnl.exe","func@0x1402880c0","[Unknown]","0x1402880c0"
"func@0x1403d0a02","0.000221431","0","","ntoskrnl.exe","func@0x1403d0a02","[Unknown]","0x1403d0a02"
"func@0x14016b340","0.000220338","360541","","igdkmdn64.sys","func@0x14016b340","[Unknown]","0x14016b340"
"KeIsEmptyAffinityEx","0.000214921","0","","ntoskrnl.exe","KeIsEmptyAffinityEx","[Unknown]","0x140436110"
"func@0x140425550","0.000214166","285782","","igdkmdn64.sys","func@0x140425550","[Unknown]","0x140425550"
"func@0x140168f20","0.000213254","278571","","igdkmdn64.sys","func@0x140168f20","[Unknown]","0x140168f20"
"func@0x1403b62a0","0.000212916","0","","igdkmdn64.sys","func@0x1403b62a0","[Unknown]","0x1403b62a0"
"free_base","0.000212395","1594767","","ucrtbase.dll","free_base","[Unknown]","0x18001e0e0"
"func@0x14043af20","0.000211405","0","","ntoskrnl.exe","func@0x14043af20","[Unknown]","0x14043af20"
"DpiGetDxgAdapter","0.000210546","366833","","dxgkrnl.sys","DpiGetDxgAdapter","[Unknown]","0x1c00177a0"
"func@0x140248c48","0.000210442","451226","","ntoskrnl.exe","func@0x140248c48","[Unknown]","0x140248c48"
"EtwEventEnabled","0.000210025","0","","ntoskrnl.exe","EtwEventEnabled","[Unknown]","0x140305c30"
"func@0x140302170","0.000209895","0","","ntoskrnl.exe","func@0x140302170","[Unknown]","0x140302170"
"func@0x14041d280","0.000209895","0","","ntoskrnl.exe","func@0x14041d280","[Unknown]","0x14041d280"
"func@0x1402787f7","0.000209192","0","","ntoskrnl.exe","func@0x1402787f7","[Unknown]","0x1402787f7"
"func@0x1403cdb30","0.000208489","0","","ntoskrnl.exe","func@0x1403cdb30","[Unknown]","0x1403cdb30"
"func@0x140278ea0","0.00020776","0","","ntoskrnl.exe","func@0x140278ea0","[Unknown]","0x140278ea0"
"func@0x140311c90","0.000207707","0","","ntoskrnl.exe","func@0x140311c90","[Unknown]","0x140311c90"
"func@0x1403cf300","0.000207525","333587","","ntoskrnl.exe","func@0x1403cf300","[Unknown]","0x1403cf300"
"func@0x1403cda48","0.000207369","0","","ntoskrnl.exe","func@0x1403cda48","[Unknown]","0x1403cda48"
"func@0x14027d6ca","0.00020651","0","","ntoskrnl.exe","func@0x14027d6ca","[Unknown]","0x14027d6ca"
"func@0x1403e6700","0.000206457","649441","","ntoskrnl.exe","func@0x1403e6700","[Unknown]","0x1403e6700"
"func@0x140431730","0.000206379","1142052","","ntoskrnl.exe","func@0x140431730","[Unknown]","0x140431730"
"func@0x1402c6960","0.000206353","338520","","ntoskrnl.exe","func@0x1402c6960","[Unknown]","0x1402c6960"
"func@0x18000a4d0","0.000206093","338409","","ntdll.dll","func@0x18000a4d0","[Unknown]","0x18000a4d0"
"func@0x1402a73a0","0.000206041","1907525","","ntoskrnl.exe","func@0x1402a73a0","[Unknown]","0x1402a73a0"
"func@0x140301820","0.000206015","0","","ntoskrnl.exe","func@0x140301820","[Unknown]","0x140301820"
"KeGetCurrentIrql","0.000206015","668574","","ntoskrnl.exe","KeGetCurrentIrql","[Unknown]","0x14043fcc0"
"RtlEnterCriticalSection","0.000205754","0","","ntdll.dll","RtlEnterCriticalSection","[Unknown]","0x18007a090"
"fclose","0.000205728","0","","ucrtbase.dll","fclose","[Unknown]","0x180061f00"
"func@0x1403cdc60","0.000205572","0","","ntoskrnl.exe","func@0x1403cdc60","[Unknown]","0x1403cdc60"
"func@0x1402bfe17","0.000205416","786034","","ntoskrnl.exe","func@0x1402bfe17","[Unknown]","0x1402bfe17"
"RtlLeaveCriticalSection","0.000205233","711556","","ntdll.dll","RtlLeaveCriticalSection","[Unknown]","0x18007a190"
"func@0x1402b21d0","0.000204713","0","","ntoskrnl.exe","func@0x1402b21d0","[Unknown]","0x1402b21d0"
