"Function / Call Stack","CPU Time","Clockticks","Instructions Retired","CPI Rate","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Retiring","Front-End Bound","Bad Speculation","Back-End Bound","Back-End Bound Auxiliary","Average CPU Frequency","Module","Function (Full)","Source File","Start Address"
"func@0x1402dc020","9.99996e-05","537600","0","","0","","","0","0","0","0","0","0","5.37602e+09","ntoskrnl.exe","func@0x1402dc020","[Unknown]","0x1402dc020"
"func@0x18002f3e4","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","nllbidsdriver.sys","func@0x18002f3e4","[Unknown]","0x18002f3e4"
"func@0x140414420","9.99996e-05","0","268800","0","","0","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140414420","[Unknown]","0x140414420"
"func@0x140257ae0","9.99996e-05","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140257ae0","[Unknown]","0x140257ae0"
"func@0x1c0007f40","9.99996e-05","537600","0","","0","0","1","0","0","0","0","0","0","5.37602e+09","dxgmms2.sys","func@0x1c0007f40","[Unknown]","0x1c0007f40"
"func@0x140273880","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140273880","[Unknown]","0x140273880"
"func@0x14084c750","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14084c750","[Unknown]","0x14084c750"
"func@0x1c0001dc0","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","fileinfo.sys","func@0x1c0001dc0","[Unknown]","0x1c0001dc0"
"func@0x1402ac34d","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402ac34d","[Unknown]","0x1402ac34d"
"func@0x1400842b0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","nllsnx.sys","func@0x1400842b0","[Unknown]","0x1400842b0"
"func@0x1c0001a00","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","symcryptk.dll","func@0x1c0001a00","[Unknown]","0x1c0001a00"
"IoIrpHasFsTrackOffsetExtensionType","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","IoIrpHasFsTrackOffsetExtensionType","[Unknown]","0x14044b280"
"func@0x1c0095400","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","cng.sys","func@0x1c0095400","[Unknown]","0x1c0095400"
"func@0x14001bc00","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","nllmonflt.sys","func@0x14001bc00","[Unknown]","0x14001bc00"
"func@0x1c001dbc0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","classpnp.sys","func@0x1c001dbc0","[Unknown]","0x1c001dbc0"
"func@0x140022f8c","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","nllmonflt.sys","func@0x140022f8c","[Unknown]","0x140022f8c"
"func@0x1c0058f60","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","cng.sys","func@0x1c0058f60","[Unknown]","0x1c0058f60"
"func@0x180071340","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ucrtbase.dll","func@0x180071340","[Unknown]","0x180071340"
"func@0x1404053c8","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404053c8","[Unknown]","0x1404053c8"
"IoReleaseRemoveLockEx","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","IoReleaseRemoveLockEx","[Unknown]","0x1402c4940"
"func@0x140012acc","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","nllarpot.sys","func@0x140012acc","[Unknown]","0x140012acc"
"func@0x1408ae146","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1408ae146","[Unknown]","0x1408ae146"
"func@0x14000106c","9.99996e-05","0","268800","0","0","0","1","0","0","0","0","0","0","0","nllarpot.sys","func@0x14000106c","[Unknown]","0x14000106c"
"func@0x140024e8c","9.99996e-05","268800","0","","0","0","1","0","0","0","0","0","0","2.68801e+09","nllnethub.sys","func@0x140024e8c","[Unknown]","0x140024e8c"
"func@0x140039685","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","nllsnx.sys","func@0x140039685","[Unknown]","0x140039685"
"func@0x14030b726","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14030b726","[Unknown]","0x14030b726"
"func@0x1403bbfd0","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403bbfd0","[Unknown]","0x1403bbfd0"
"CcCopyWriteWontFlush","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","CcCopyWriteWontFlush","[Unknown]","0x140209b20"
"PsGetThreadId","9.99996e-05","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","PsGetThreadId","[Unknown]","0x140465050"
"func@0x140367430","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140367430","[Unknown]","0x140367430"
"func@0x1403ff9b0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403ff9b0","[Unknown]","0x1403ff9b0"
"func@0x1403a9b80","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403a9b80","[Unknown]","0x1403a9b80"
"func@0x140279c55","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140279c55","[Unknown]","0x140279c55"
"func@0x14021c820","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14021c820","[Unknown]","0x14021c820"
"FsRtlRemoveExtraCreateParameter","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","FsRtlRemoveExtraCreateParameter","[Unknown]","0x1409b7780"
"func@0x140360cd0","0","806400","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140360cd0","[Unknown]","0x140360cd0"
"func@0x140350d09","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140350d09","[Unknown]","0x140350d09"
"func@0x140367540","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140367540","[Unknown]","0x140367540"
"func@0x140313fe0","0","537600","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140313fe0","[Unknown]","0x140313fe0"
"func@0x1404079d4","0","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404079d4","[Unknown]","0x1404079d4"
"func@0x14041eb3c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14041eb3c","[Unknown]","0x14041eb3c"
"func@0x14043b4aa","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14043b4aa","[Unknown]","0x14043b4aa"
"func@0x1403d061c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403d061c","[Unknown]","0x1403d061c"
"func@0x1403cc6b0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403cc6b0","[Unknown]","0x1403cc6b0"
"KeRemoveProcessorAffinityEx","0","806400","537600","1.5","0","","","0","0","0","0","0","0","","ntoskrnl.exe","KeRemoveProcessorAffinityEx","[Unknown]","0x1403f2a40"
"func@0x14029846c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14029846c","[Unknown]","0x14029846c"
"func@0x14028a1dc","0","806400","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14028a1dc","[Unknown]","0x14028a1dc"
"IoGetActivityIdThread","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","IoGetActivityIdThread","[Unknown]","0x14045a1c0"
"func@0x14028d79c","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14028d79c","[Unknown]","0x14028d79c"
"func@0x1402cbab0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402cbab0","[Unknown]","0x1402cbab0"
"func@0x140219dd2","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140219dd2","[Unknown]","0x140219dd2"
"func@0x14036eb90","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14036eb90","[Unknown]","0x14036eb90"
"func@0x1403b9ac4","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403b9ac4","[Unknown]","0x1403b9ac4"
"func@0x14025b950","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14025b950","[Unknown]","0x14025b950"
"func@0x14027d510","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14027d510","[Unknown]","0x14027d510"
"func@0x140269186","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140269186","[Unknown]","0x140269186"
"func@0x14049545b","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14049545b","[Unknown]","0x14049545b"
"KeAcquireInStackQueuedSpinLock","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","KeAcquireInStackQueuedSpinLock","[Unknown]","0x140256270"
"func@0x1402802d0","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402802d0","[Unknown]","0x1402802d0"
"func@0x1404f7184","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404f7184","[Unknown]","0x1404f7184"
"func@0x14028f423","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14028f423","[Unknown]","0x14028f423"
"func@0x1402285b0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402285b0","[Unknown]","0x1402285b0"
"func@0x14027b7f0","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14027b7f0","[Unknown]","0x14027b7f0"
"func@0x14027a090","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14027a090","[Unknown]","0x14027a090"
"func@0x1404078a0","0","0","0","0","0","0.1","0.9","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404078a0","[Unknown]","0x1404078a0"
"func@0x1404855c4","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1404855c4","[Unknown]","0x1404855c4"
"func@0x140509078","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140509078","[Unknown]","0x140509078"
"func@0x14027ef9c","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14027ef9c","[Unknown]","0x14027ef9c"
"func@0x140417920","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140417920","[Unknown]","0x140417920"
"func@0x140278e20","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140278e20","[Unknown]","0x140278e20"
"func@0x140262860","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140262860","[Unknown]","0x140262860"
"func@0x1403ceb03","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403ceb03","[Unknown]","0x1403ceb03"
"func@0x140237f00","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140237f00","[Unknown]","0x140237f00"
"PsGetCurrentThreadId","0","268800","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","PsGetCurrentThreadId","[Unknown]","0x1404501d0"
"func@0x14041e9dc","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14041e9dc","[Unknown]","0x14041e9dc"
"func@0x140509754","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140509754","[Unknown]","0x140509754"
"func@0x1405d468c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1405d468c","[Unknown]","0x1405d468c"
"func@0x1402931e0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402931e0","[Unknown]","0x1402931e0"
"func@0x140404dc8","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140404dc8","[Unknown]","0x140404dc8"
"func@0x140304830","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140304830","[Unknown]","0x140304830"
"func@0x14032f860","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14032f860","[Unknown]","0x14032f860"
"func@0x14044e060","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14044e060","[Unknown]","0x14044e060"
"func@0x140350035","0","268800","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140350035","[Unknown]","0x140350035"
"func@0x14027fca0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14027fca0","[Unknown]","0x14027fca0"
"func@0x1403034d0","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403034d0","[Unknown]","0x1403034d0"
"func@0x14027ece0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14027ece0","[Unknown]","0x14027ece0"
"ExAcquirePushLockSharedEx","0","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExAcquirePushLockSharedEx","[Unknown]","0x140323540"
"func@0x140330531","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140330531","[Unknown]","0x140330531"
"func@0x1404f7534","0","0","0","0","0","0","","","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404f7534","[Unknown]","0x1404f7534"
"func@0x1402e5e00","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402e5e00","[Unknown]","0x1402e5e00"
"KfRaiseIrql","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","KfRaiseIrql","[Unknown]","0x1404159e0"
"func@0x14036175a","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14036175a","[Unknown]","0x14036175a"
"func@0x1403bbb00","0","537600","268800","2","0","0.1","0.9","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403bbb00","[Unknown]","0x1403bbb00"
"func@0x140280980","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140280980","[Unknown]","0x140280980"
"func@0x14030f878","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14030f878","[Unknown]","0x14030f878"
"func@0x140235254","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140235254","[Unknown]","0x140235254"
"func@0x1402f7510","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402f7510","[Unknown]","0x1402f7510"
"func@0x14027c940","0","806400","806400","1","0","0","1","0","0","0","1","0","0","","ntoskrnl.exe","func@0x14027c940","[Unknown]","0x14027c940"
"func@0x1408c5f90","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1408c5f90","[Unknown]","0x1408c5f90"
"IofCompleteRequest","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","IofCompleteRequest","[Unknown]","0x140303490"
"func@0x1402cf9c7","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402cf9c7","[Unknown]","0x1402cf9c7"
"func@0x140238860","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140238860","[Unknown]","0x140238860"
"func@0x1402c4b60","0","0","0","0","0","0","","","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c4b60","[Unknown]","0x1402c4b60"
"func@0x140236364","0","0","268800","0","0","0.1","0.9","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140236364","[Unknown]","0x140236364"
"func@0x1402348cc","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402348cc","[Unknown]","0x1402348cc"
"func@0x1402f4160","0","268800","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402f4160","[Unknown]","0x1402f4160"
"RtlInitAnsiString","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","RtlInitAnsiString","[Unknown]","0x140480db0"
"func@0x1402db7c0","0","0","268800","0","0","0","","","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402db7c0","[Unknown]","0x1402db7c0"
"func@0x140994e0e","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140994e0e","[Unknown]","0x140994e0e"
"func@0x1403cd7e8","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403cd7e8","[Unknown]","0x1403cd7e8"
"ExQueueWorkItem","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","ExQueueWorkItem","[Unknown]","0x140361810"
"CcCopyWriteEx","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","CcCopyWriteEx","[Unknown]","0x14030b4f0"
"func@0x140217b50","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140217b50","[Unknown]","0x140217b50"
"func@0x1408b2733","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1408b2733","[Unknown]","0x1408b2733"
"func@0x1402c1dd0","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402c1dd0","[Unknown]","0x1402c1dd0"
"func@0x140446e70","0","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140446e70","[Unknown]","0x140446e70"
"func@0x14039fe40","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14039fe40","[Unknown]","0x14039fe40"
"func@0x14029ba2c","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14029ba2c","[Unknown]","0x14029ba2c"
"NtFreeVirtualMemory","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","NtFreeVirtualMemory","[Unknown]","0x140976090"
"func@0x1403d04b0","0","268800","0","","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403d04b0","[Unknown]","0x1403d04b0"
"func@0x1402dbc90","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402dbc90","[Unknown]","0x1402dbc90"
"func@0x14044abb0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14044abb0","[Unknown]","0x14044abb0"
"func@0x140235900","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140235900","[Unknown]","0x140235900"
"func@0x140304c94","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140304c94","[Unknown]","0x140304c94"
"FsRtlLookupBaseMcbEntry","0","537600","806400","0.666667","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","FsRtlLookupBaseMcbEntry","[Unknown]","0x140415ea0"
"func@0x1402bdfe6","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402bdfe6","[Unknown]","0x1402bdfe6"
"IofCallDriver","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","IofCallDriver","[Unknown]","0x1402f1380"
"func@0x14041d1f0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14041d1f0","[Unknown]","0x14041d1f0"
"func@0x1403cd48d","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403cd48d","[Unknown]","0x1403cd48d"
"func@0x140249700","0","537600","268800","2","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140249700","[Unknown]","0x140249700"
"ExAcquireFastMutex","0","1075200","537600","2","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","ExAcquireFastMutex","[Unknown]","0x140324640"
"func@0x1403c0308","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403c0308","[Unknown]","0x1403c0308"
"func@0x1402fcf80","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402fcf80","[Unknown]","0x1402fcf80"
"func@0x1402c2e30","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402c2e30","[Unknown]","0x1402c2e30"
"func@0x1402ecf60","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402ecf60","[Unknown]","0x1402ecf60"
"func@0x1402ea090","0","0","537600","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402ea090","[Unknown]","0x1402ea090"
"strlen","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","strlen","[Unknown]","0x1406baed0"
"func@0x1403d08a0","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403d08a0","[Unknown]","0x1403d08a0"
"KeLeaveCriticalRegion","0","537600","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","KeLeaveCriticalRegion","[Unknown]","0x1403717d0"
"func@0x1403cf1e8","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403cf1e8","[Unknown]","0x1403cf1e8"
"func@0x140287781","0","268800","806400","0.333333","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140287781","[Unknown]","0x140287781"
"func@0x14045bf90","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14045bf90","[Unknown]","0x14045bf90"
"func@0x140506268","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140506268","[Unknown]","0x140506268"
"FsRtlReleaseEofLock","0","537600","537600","1","0","","","0","0","0","0","0","0","","ntoskrnl.exe","FsRtlReleaseEofLock","[Unknown]","0x140414c60"
"func@0x14043b5a1","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14043b5a1","[Unknown]","0x14043b5a1"
"func@0x1403e19e0","0","268800","268800","1","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403e19e0","[Unknown]","0x1403e19e0"
"func@0x14043b484","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14043b484","[Unknown]","0x14043b484"
"func@0x14032e9c5","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14032e9c5","[Unknown]","0x14032e9c5"
"func@0x14044a735","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14044a735","[Unknown]","0x14044a735"
"ExAllocateFromLookasideListEx","0","0","0","0","0","","","0","0","0","0","0","0","0","ntoskrnl.exe","ExAllocateFromLookasideListEx","[Unknown]","0x1403ec610"
"func@0x1403a4e10","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403a4e10","[Unknown]","0x1403a4e10"
"func@0x140465c4d","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140465c4d","[Unknown]","0x140465c4d"
"func@0x14044a790","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14044a790","[Unknown]","0x14044a790"
"func@0x14032e585","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x14032e585","[Unknown]","0x14032e585"
"func@0x1404ade74","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1404ade74","[Unknown]","0x1404ade74"
"ExAllocatePool2","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExAllocatePool2","[Unknown]","0x140b690f0"
"func@0x1403ae090","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1403ae090","[Unknown]","0x1403ae090"
"func@0x140304b70","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140304b70","[Unknown]","0x140304b70"
"func@0x140252d30","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140252d30","[Unknown]","0x140252d30"
"IoGetActivityIdIrp","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","IoGetActivityIdIrp","[Unknown]","0x14041b5f0"
"func@0x1403cefaf","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403cefaf","[Unknown]","0x1403cefaf"
"func@0x140262960","0","806400","537600","1.5","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x140262960","[Unknown]","0x140262960"
"ExFreeToLookasideListEx","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","ExFreeToLookasideListEx","[Unknown]","0x1402108d0"
"func@0x1403129d0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403129d0","[Unknown]","0x1403129d0"
"func@0x1404f8930","0","537600","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1404f8930","[Unknown]","0x1404f8930"
"func@0x14030b800","0","1344000","537600","2.5","0","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14030b800","[Unknown]","0x14030b800"
"func@0x1402ae452","0","268800","1075200","0.25","","","","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402ae452","[Unknown]","0x1402ae452"
"FsRtlAddBaseMcbEntryEx","0","1075200","806400","1.33333","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","FsRtlAddBaseMcbEntryEx","[Unknown]","0x1403dadd0"
"func@0x1403cf25c","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403cf25c","[Unknown]","0x1403cf25c"
"func@0x1403229b9","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1403229b9","[Unknown]","0x1403229b9"
"func@0x14030ccc4","0","268800","0","","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14030ccc4","[Unknown]","0x14030ccc4"
"func@0x14041def0","0","268800","268800","1","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x14041def0","[Unknown]","0x14041def0"
"func@0x140358d90","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140358d90","[Unknown]","0x140358d90"
"func@0x140272930","0","268800","806400","0.333333","0","0","","","0","0","0","0","0","","ntoskrnl.exe","func@0x140272930","[Unknown]","0x140272930"
"func@0x140886b3e","0","0","268800","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x140886b3e","[Unknown]","0x140886b3e"
"func@0x1402ad540","0","537600","806400","0.666667","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402ad540","[Unknown]","0x1402ad540"
"func@0x1402c5018","0","268800","537600","0.5","0","0","1","0","0","0","0","0","0","","ntoskrnl.exe","func@0x1402c5018","[Unknown]","0x1402c5018"
"func@0x1402e7680","0","0","0","0","0","0","1","0","0","0","0","0","0","0","ntoskrnl.exe","func@0x1402e7680","[Unknown]","0x1402e7680"
